scenario_id,method,run,pair_group,run_path,matrix_recorded,matrix_exit_code,matrix_started_at,matrix_finished_at,git_commit,profile,nav2_params,prediction_cost_weight,world_file,succeeded,nav2_status,simulation_duration_s,wall_duration_s,gazebo_trajectory_length_m,final_xy_error_m,minimum_robot_obstacle_clearance_m,minimum_recorded_clearance_m,first_future_conflict_elapsed_s,first_slowdown_elapsed_s,slowdown_after_future_conflict_s,lead_to_min_clearance_s,command_stop_ratio,command_reverse_ratio,progress_recovery_events,controller_failure_events,collision_monitor_stop_events,gazebo_robot_dynamic_contact,gazebo_non_ground_contact,oracle_message_validation_exit,oracle_active_log_lines,oracle_stale_log_lines,oracle_publisher_ready_log_lines,evidence_complete,trial_exit_code,startup_failure,nav2_succeeded,goal_timed_out,acceptance_pass,run_outcome
S1_crossing,oracle,oracle_run_01,run_01,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/oracle_run_01,True,0,2026-08-29T17:29:24Z,2026-08-29T17:35:41Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,164.2,219.78677515298477,20.246284635622253,0.024306345683056094,0.0,0.0,38.8,128.39999999999998,89.59999999999998,-80.59999999999998,0.2706199460916442,0.08194070080862534,0,0,0,False,False,0,33,0,1,True,0,False,True,False,True,PASS
S1_crossing,oracle,oracle_run_02,run_02,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/oracle_run_02,True,0,2026-08-29T17:35:47Z,2026-08-29T17:41:49Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,158.0,209.44372994298465,18.06550758136965,0.02858020439979906,0.11042622299327835,0.110426223,32.199999999999996,,,,0.4529577464788732,0.018028169014084508,0,0,0,False,False,0,32,0,1,True,0,False,True,False,True,PASS
S1_crossing,oracle,oracle_run_03,run_03,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/oracle_run_03,True,5,2026-08-29T17:41:55Z,2026-08-29T17:49:49Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,False,5,196.4,300.0860221499752,20.163875296198906,0.17407940463373714,0.0,0.0,38.300000000000004,,,,0.39211136890951276,0.058004640371229696,0,0,0,False,False,0,39,0,1,True,5,False,False,True,False,NAV_TIMEOUT
S1_crossing,oracle,oracle_run_04,run_04,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/oracle_run_04,True,5,2026-08-29T17:49:55Z,2026-08-29T17:57:51Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,False,5,224.59999999999997,300.08562969000195,18.94742987384172,0.24769818718287276,1.923194973517979,1.923194974,nan,84.30000000000001,,-49.20000000000001,0.543681430312881,0.0337261275904104,0,0,0,False,False,0,45,0,1,True,5,False,False,True,False,NAV_TIMEOUT
S1_crossing,oracle,oracle_run_05,run_05,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/oracle_run_05,True,0,2026-08-29T17:57:58Z,2026-08-29T18:04:07Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,158.10000000000002,209.65431650198298,17.971087318762567,0.026158338872077178,1.5035861369134016,1.503586137,nan,,,,0.4420817011751539,0.01790710688304421,0,0,0,False,False,0,32,0,1,True,0,False,True,False,True,PASS
S1_crossing,reactive,reactive_run_01,run_01,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/reactive_run_01,True,0,2026-08-29T16:58:12Z,2026-08-29T17:04:15Z,bf47951818887ddd7052bed71b945c74117ce675,reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,157.1,210.80677902000025,18.01502216006175,0.03235001282299145,1.3586246907056514,1.358624691,nan,,,,0.4648711943793911,0.018149882903981264,0,0,0,False,False,0,0,0,0,True,0,False,True,False,True,PASS
S1_crossing,reactive,reactive_run_02,run_02,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/reactive_run_02,True,0,2026-08-29T17:04:20Z,2026-08-29T17:10:34Z,bf47951818887ddd7052bed71b945c74117ce675,reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,141.39999999999998,187.9896655549819,18.464960783040627,0.06199799730739215,1.4967024374911975,1.496702437,nan,,,,0.3672424824056302,0.020473448496481125,0,0,0,False,False,0,0,0,0,True,0,False,True,False,True,PASS
S1_crossing,reactive,reactive_run_03,run_03,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/reactive_run_03,True,0,2026-08-29T17:10:39Z,2026-08-29T17:16:37Z,bf47951818887ddd7052bed71b945c74117ce675,reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,157.8,210.082066715986,18.235265467315955,0.042323141650209554,0.4727247519975209,0.472724752,nan,,,,0.4604651162790698,0.01802325581395349,0,0,0,False,False,0,0,0,0,True,0,False,True,False,True,PASS
S1_crossing,reactive,reactive_run_04,run_04,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/reactive_run_04,True,0,2026-08-29T17:16:43Z,2026-08-29T17:23:01Z,bf47951818887ddd7052bed71b945c74117ce675,reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,166.2,221.54158461201587,18.678893507055363,0.018118852746088855,0.29457310808394777,0.294573108,28.599999999999994,35.8,7.200000000000003,-4.8999999999999915,0.4436424208772904,0.018878400888395337,0,0,0,False,False,0,0,0,0,True,0,False,True,False,True,PASS
S1_crossing,reactive,reactive_run_05,run_05,experiments/oracle_mppi/gate5/formal_20260830_01/S1_crossing/reactive_run_05,True,0,2026-08-29T17:23:07Z,2026-08-29T17:29:19Z,bf47951818887ddd7052bed71b945c74117ce675,reactive_mppi_static,experiments/oracle_mppi/configs/nav2_mppi_reactive_10hz_params.yaml,,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,164.3,220.05697996899835,18.314954095686723,0.03453497025993711,1.5289004992867756,1.528900499,nan,,,,0.467005076142132,0.01692047377326565,0,0,0,False,False,0,0,0,0,True,0,False,True,False,True,PASS
S2_oncoming,oracle,oracle_run_01,run_01,experiments/oracle_mppi/gate5/formal_20260830_01/S2_oncoming/oracle_run_01,True,0,2026-08-29T18:50:26Z,2026-08-29T18:57:12Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,178.0,239.08717708999757,18.47239398236019,0.020057099206348687,0.7949777189053401,0.794977719,nan,,,,0.48564231738035263,0.01712846347607053,0,0,0,False,False,0,36,0,1,True,0,False,True,False,True,PASS
S2_oncoming,oracle,oracle_run_02,run_02,experiments/oracle_mppi/gate5/formal_20260830_01/S2_oncoming/oracle_run_02,True,0,2026-08-29T18:57:18Z,2026-08-29T19:04:52Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,178.4,240.55852910800604,21.13213522038466,0.07313972030922801,0.532642638417498,0.532642638,nan,,,,0.4072398190045249,0.015082956259426848,0,0,0,False,False,0,36,0,1,True,0,False,True,False,True,PASS
S2_oncoming,oracle,oracle_run_03,run_03,experiments/oracle_mppi/gate5/formal_20260830_01/S2_oncoming/oracle_run_03,True,4,2026-08-29T19:04:58Z,2026-08-29T19:20:48Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,,,,,,,,,,,,,,,,,,,,,,,,False,,True,,,False,STARTUP_FAILURE
S2_oncoming,oracle,oracle_run_04,run_04,experiments/oracle_mppi/gate5/formal_20260830_01/S2_oncoming/oracle_run_04,True,0,2026-08-29T19:20:48Z,2026-08-29T19:27:28Z,bf47951818887ddd7052bed71b945c74117ce675,oracle_mppi_prediction,experiments/oracle_mppi/configs/nav2_mppi_oracle_footprint005_params.yaml,50.0,src/rtabmap_tb3_nav/worlds/indoor_obstacle_course_large.world,True,4,174.39999999999998,234.7429397710075,18.35319487030319,0.10236562033623893,0.6994163370104092,0.699416337,nan,,,,0.4647814910025707,0.015938303341902313,0,0,0,False,False,0,35,0,1,True,0,False,True,False,True,PASS
